zip,value2013,value2008,value2003,value1998,county
94301,2350691.667,1551891.667,1129475,792366.6667,Santa Clara
95133,489100,526100,420250,244000,Santa Clara
94127,1079891.667,998950,740000,429033.3333,San Francisco
94108,746041.6667,742208.3333,600625,330908.3333,San Francisco
94564,326241.6667,388933.3333,387233.3333,181925,Contra Costa
95620,270475,331600,306100,152883.3333,Solano
94618,916550,815000,684966.6667,363858.3333,Alameda
94022,2396233.333,1942125,1555916.667,926141.6667,Santa Clara
94563,1177983.333,1150858.333,870000,512758.3333,Contra Costa
94949,650816.6667,696241.6667,586150,354040,Marin
95135,794875,758300,586275,365325,Santa Clara
94579,405283.3333,411575,388358.3333,192175,Alameda
94519,352091.6667,373283.3333,359125,168675,Contra Costa
94945,571058.3333,631266.6667,541058.3333,313440,Marin
94041,1137775,888816.6667,633908.3333,419708.3333,Santa Clara
94705,1087858.333,1058375,817058.3333,463083.3333,Alameda
94019,768383.3333,821408.3333,613550,386900,San Mateo
94503,325950,480491.6667,416808.3333,230880,Napa
95110,417266.6667,456566.6667,366316.6667,206941.6667,Santa Clara
94960,910983.3333,835716.6667,685733.3333,419550,Marin
94965,928216.6667,942325,737641.6667,459180,Marin
94507,1352891.667,1347183.333,1094516.667,612600,Contra Costa
94920,2009783.333,1960041.667,1645308.333,878270,Marin
95138,804691.6667,797133.3333,706883.3333,429000,Santa Clara
94556,992016.6667,960391.6667,783216.6667,469183.3333,Contra Costa
94709,771591.6667,677883.3333,581916.6667,295775,Alameda
94505,429558.3333,532533.3333,451016.6667,291975,Contra Costa
95030,1878525,1734300,1281200,795958.3333,Santa Clara
94805,299925,381891.6667,358016.6667,152616.6667,Contra Costa
94707,946866.6667,858075,699158.3333,395641.6667,Alameda
94904,1287800,1227625,921666.6667,603166.6667,Marin
94105,943441.6667,785816.6667,560516.6667,325441.6667,San Francisco
94502,677516.6667,613983.3333,542566.6667,281816.6667,Alameda
94065,951950,809866.6667,669025,433458.3333,San Mateo
94517,636383.3333,626766.6667,567258.3333,301725,Contra Costa
94552,736008.3333,701366.6667,594391.6667,342775,Alameda
95130,840741.6667,735241.6667,530558.3333,352183.3333,Santa Clara
94708,907066.6667,876733.3333,689108.3333,406791.6667,Alameda
94542,577641.6667,634316.6667,534491.6667,291825,Alameda
95425,327141.6667,379491.6667,354241.6667,180208.3333,Sonoma
94571,222175,259641.6667,262341.6667,139541.6667,Solano
94574,895233.3333,877308.3333,722050,276050,Napa
94931,350541.6667,382783.3333,377558.3333,187650,Sonoma
94305,2248883.333,1853891.667,1400591.667,920616.6667,Santa Clara
94925,952050,860000,716000,391920,Marin
94930,675958.3333,700033.3333,554758.3333,323290,Marin
95033,848058.3333,880700,684208.3333,440133.3333,Santa Clara
94515,544091.6667,572233.3333,523058.3333,239891.6667,Napa
95446,267741.6667,292925,275366.6667,133500,Sonoma
94939,1224058.333,1170350,840108.3333,518900,Marin
95436,319025,387550,353225,168983.3333,Sonoma
94158,898875,760725,505975,328983.3333,San Francisco
94572,285925,365525,357058.3333,174475,Contra Costa
95119,594016.6667,578033.3333,478666.6667,283841.6667,Santa Clara
94710,574766.6667,505441.6667,393625,190275,Alameda
94028,2538141.667,2126933.333,1894725,1017375,San Mateo
94027,4215691.667,3414408.333,2912341.667,1623016.667,San Mateo
95046,751116.6667,926508.3333,694883.3333,451541.6667,Santa Clara
94111,922041.6667,829016.6667,685741.6667,406091.6667,San Francisco
95139,559883.3333,559383.3333,465275,276608.3333,Santa Clara
94005,591458.3333,632583.3333,475058.3333,295808.3333,San Mateo
94951,650808.3333,660608.3333,606225,320200,Sonoma
95442,642650,702566.6667,532458.3333,272458.3333,Sonoma
94599,646533.3333,673316.6667,616541.6667,229340,Napa
94525,298841.6667,357783.3333,339466.6667,171891.6667,Contra Costa
94038,771525,876283.3333,617541.6667,399775,San Mateo
95465,681983.3333,668333.3333,564816.6667,310100,Sonoma
94037,787050,885141.6667,633650,408191.6667,San Mateo
94511,282650,426566.6667,278591.6667,166125,Contra Costa
95113,578500,411033.3333,353283.3333,199750,Santa Clara
94957,2343841.667,2502441.667,2032658.333,1116644.444,Marin
95452,741150,730983.3333,570741.6667,310366.6667,Sonoma
94923,665808.3333,743400,613516.6667,343783.3333,Sonoma
94924,948175,1035308.333,698258.3333,354210,Marin
94020,667650,809725,558691.6667,380775,San Mateo
95421,373175,365416.6667,300233.3333,154225,Sonoma
95462,335791.6667,335858.3333,287258.3333,146266.6667,Sonoma
94973,607800,686400,566150,313560,Marin
94937,786825,720325,651100,388122.2222,Marin
94970,1815616.667,1761875,1117866.667,724266.6667,Marin
95497,664758.3333,727316.6667,656275,324391.6667,Sonoma
94021,1084565.33,958036.1156,734281.5238,463855.3333,San Mateo
94035,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
94060,1084565.33,958036.1156,734281.5238,463855.3333,San Mateo
94074,1084565.33,958036.1156,734281.5238,463855.3333,San Mateo
94104,905589.9263,798340.7711,598656.4546,357053.9855,San Francisco
94115,905589.9263,798340.7711,598656.4546,357053.9855,San Francisco
94129,905589.9263,798340.7711,598656.4546,357053.9855,San Francisco
94130,905589.9263,798340.7711,598656.4546,357053.9855,San Francisco
94304,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
94508,543197.7387,553749.2882,443380.4861,225705.2778,Napa
94512,278474.4633,317567.1189,284568.7771,152343.1818,Solano
94514,533434.5698,538562.0556,460135.1389,259132.6389,Contra Costa
94528,533434.5698,538562.0556,460135.1389,259132.6389,Contra Costa
94535,278474.4633,317567.1189,284568.7771,152343.1818,Solano
94548,533434.5698,538562.0556,460135.1389,259132.6389,Contra Costa
94567,543197.7387,553749.2882,443380.4861,225705.2778,Napa
94569,533434.5698,538562.0556,460135.1389,259132.6389,Contra Costa
94586,565892.8524,548402.2724,454654.5365,242354.7101,Alameda
94592,278474.4633,317567.1189,284568.7771,152343.1818,Solano
94613,565892.8524,548402.2724,454654.5365,242354.7101,Alameda
94922,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
94933,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94938,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94940,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94946,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94956,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94963,1019544.525,960847.1138,732537.3111,481142.7778,Marin
94972,1019544.525,960847.1138,732537.3111,481142.7778,Marin
95002,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
95013,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
95140,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
95141,888457.1935,782333.0463,593673.5185,387787.963,Santa Clara
95412,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
95439,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
95441,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
95444,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
95450,466923.8057,472441.0517,398567.6559,225777.3333,Sonoma
